Title;Artist;Language;genre;Period
Voyage en italie;Liliclub;French;Variete;1990'
Wake Me up When September Ends;Greenday;English;Pop;2000'
Walk on the Wild Side;Lou Reed;English;Variete;1970'
We Can Work It Out;The Beatles;English;Variete;1960 Beatles Rolling stones'
Week end a Rome;Etienne Daho;English;Variete;1980'
Weird Fishes Arpeggi;Radiohead;English;Variete;2000'
What a wonderful world;Louis Amstrong;English;Variete;1950 and before'
What's Up?;4 Non Blondes;English;Pop;1990'
Where did you sleep;Nirvana;English;Pop;1990'
Where Is My Mind;Pixies;English;Pop;1980'
While My Guitar;George Harrisson;English;Variete;1960 Beatles Rolling stones'
White Flag;Dido;English;Variete;2000'
Wild Horses;Rolling Stones;English;Variete;1960 Beatles Rolling stones'
Wild Thing;Troggs;English;Variete;1960'
Wild World;Cat Stevens;English;Variete;1970'
Wind of change;Scorpions;English;Pop;1990'
Wish You Were Here;Pink Floyd;English;Variete;1970'
With or without you;U2;English;Pop;1980'
Wonderful tonight;Eric Clapton;English;Rock;1970'
Wonderwall;Oasis;English;Pop;1990'
Wot's... uh the Deal;Pink Floyd;English;Variete;1970'
Wouldn't It Be Nice;Beach Boys;English;Variete;1960'
Year of the Cat;Al Stewart;English;Variete;1970'
Yesterday Once More;Carpenters;English;Variete;1970'
You Know I'm No Good;Amy Winehouse;English;Girly;2000'
You'll Never Walk Alone;Gerry and The Pacemakers;English;wedding;1960'
youre still the one;Shania Twain;English;wedding;1990'
Ziggy Stardust;David Bowie;English;Variete;1970'
Zombie;Cranberries;English;Variete;1990'
