Title,Artist,Language,Genre,Period
Lonely Day,System Of A Down,English,progressive rock,1990'
Stand by Your Man,Tammy Wynette,English,country,1960'
The door,Teddy Swims,English,pop,2010 and after'
Eternal Flame,The Bangles,English,pop,1980'
A-Hard Day's Night,The Beatles,English,rock,1960 Beatles Rolling stones'
Across The Universe,The Beatles,English,rock,1960 Beatles Rolling stones'
All My Loving,The Beatles,English,rock,1960 Beatles Rolling stones'
All You Need Is Love,The Beatles,English,rock,1960 Beatles Rolling stones'
And I Love Her,The Beatles,English,rock,1960 Beatles Rolling stones'
Back in the USSR,The Beatles,English,rock,1960 Beatles Rolling stones'
Can't Buy Me Love,The Beatles,English,rock,1960 Beatles Rolling stones'
Come together,The Beatles,English,rock,1960 Beatles Rolling stones'
Don't Let Me Down,The Beatles,English,rock,1960 Beatles Rolling stones'
Drive My Car,The Beatles,English,rock,1960 Beatles Rolling stones'
Eight days a week,The Beatles,English,rock,1960 Beatles Rolling stones'
I saw her standing there,The Beatles,English,rock,1960 Beatles Rolling stones'
Love Me Do,The Beatles,English,rock,1960 Beatles Rolling stones'
Nowhere Man,The Beatles,English,rock,1960 Beatles Rolling stones'
Oh! Darling,The Beatles,English,rock,1960 Beatles Rolling stones'
Please Please Me,The Beatles,English,rock,1960 Beatles Rolling stones'
Something,The Beatles,English,rock,1960 Beatles Rolling stones'
The Long and Winding Road,The Beatles,English,rock,1960 Beatles Rolling stones'
Twist And Shout,The Beatles,English,rock,1960 Beatles Rolling stones'
We Can Work It Out,The Beatles,English,rock,1960 Beatles Rolling stones'
Please Mr. Postman,The Marvelettes,English,r&b,1970'
Dirty old town,The Pogues,English,punk,1980'
Roxanne,The Police,English,rock,1970'
Stop in the Name of Love,The Supremes,English,r&b,1960'
Behind blue eyes,The Who,English,rock,1970'
Dimmi perche,Thomas Dutronc,Italien-Corse,chanson,trad
Plus je t'embrasse,Thomas Dutronc/blossom Dearie,French,jazz,1950 and before'
fortunatu,Toni Toga,Italien-Corse,chanson,trad
Bella ciao,Traditional,Italien-Corse,canzone,trad
Wild Thing,Troggs,English,punk,1960'
One,U2,English,rock,1990'
Pride (In the Name of Love),U2,English,rock,1980'
Sunday Bloody Sunday,U2,English,rock,1980'
With or without you,U2,English,rock,1980'
I Got You Babe,Ub40,English,reggae,1960'
Ti Amo,Umberto Tozzi,Italien-Corse,canzone,1970'
Parler damour,Ute Lemper&Art Mango,French,jazz,1990'
Les mots simples,Vanessa Paradis,French,pop,2010 and after'
Venus in furs,Velvet underground,English,punk,1960'
Amoureuse,Veronique Sanson,French,pop,1970'
Bahia,Veronique Sanson,French,pop,1970'
Besoin de personne,Veronique Sanson,French,pop,1970'
Chanson pour une drole de vie,Veronique Sanson,French,pop,1970'
Comme je l'imagine,Veronique Sanson,French,pop,1970'
Ma reverence,Veronique Sanson,French,pop,1970'
Quelques mots d'amour,Veronique Sanson,French,pop,1980'
Une nuit sur son epaule,Veronique Sanson,French,pop,1970'
Vancouver,Veronique Sanson,French,pop,1970'
Island in the Sun,Weezer,English,progressive rock,2000'
Seven Nation Army,White Stripes,English,progressive rock,2000'
Bad boy,Yseult,French,pop,2010 and after'
Eblouie Par La Nuit,Zaz,French,pop,2010 and after'
Je veux,Zaz,French,pop,2010 and after'
Homme sweet homme,Zazie,French,pop,1990'
