Title,Artist,Language,genre,Period
Paint It Black,Rolling stones/Vanessa Carlton,English,Variete,1960 Beatles Rolling stones'
Be My Baby,Ronettes - Phil Spector,English,Variete,1960'
Black magic woman,Santana,English,Variete,1960'
Still loving you,Scorpions,English,Rock,1980'
Wind of change,Scorpions,English,Pop,1990'
San Francisco,Scott McKenzie,English,Variete,1960'
Harley davidson,Serge Gainsbourg,French,Variete,1960'
la gadoue,Serge Gainsbourg,French,Variete,1960'
La javanaise,Serge Gainsbourg,French,Variete,1960'
Il suffirait de presque rien,Serge Reggiani,French,Variete,1960'
Ma fille,Serge Reggiani,French,Variete,1970'
Votre fille a vingt ans,Serge Reggiani,French,Variete,1960'
youre still the one,Shania Twain,English,wedding,1990'
Goodnight moon,Shivaree,English,Variete,1970'
Venus,Shocking Blue,English,Variete,1960'
Snowman,Sia,English,Christmas,2010 and after'
Kiss Me,Sixpence None the Richer,English,Variete,1990'
Sugar Man,Sixto Rodriguez,English,Engage,1970'
Chasing Cars,Snow Patrol,English,Pop,2000'
Dejeuner en paix,Stephan Eicher/Philippe Djan,French,Variete,1990'
Isn't she lovely,Stevie Wonder,English,wedding,1970'
Fragile,Sting,English,Pop,1980'
Santeria,Sublime,English,Pop,1990'
Give a Little Bit,Supertramp,English,Variete,1970'
Luka,Suzanne Vega,English,Variete,1980'
Lonely Day,System Of A Down,English,Pop,1990'
Stand by Your Man,Tammy Wynette,English,Variete,1960'
The door,Teddy Swims,English,Variete,2010 and after'
Eternal Flame,The Bangles,English,Variete,1980'
A-Hard Day's Night,The Beatles,English,Variete,1960 Beatles Rolling stones'
Across The Universe,The Beatles,English,Variete,1960 Beatles Rolling stones'
All My Loving,The Beatles,English,Variete,1960 Beatles Rolling stones'
All You Need Is Love,The Beatles,English,Variete,1960 Beatles Rolling stones'
And I Love Her,The Beatles,English,Variete,1960 Beatles Rolling stones'
Back in the USSR,The Beatles,English,Variete,1960 Beatles Rolling stones'
Can't Buy Me Love,The Beatles,English,Variete,1960 Beatles Rolling stones'
Come together,The Beatles,English,Rock,1960 Beatles Rolling stones'
