Title,Artist,Langue,genre,Period
Tu ne m'as pas laisse le temps,David Hallyday,French,Variete,inconnu
Tu verras,Claude Nougaro,French,Variete,inconnu
Tu voa fa l'americano a refaire,sofia loren,English,Variete,1950 and before'
Tu voa fa l'americano UK a refaire,Sophia Loren,English,Variete,1950 and before'
Twist And Shout-v,Beatles,English,Variete,1960 Beatles Rolling stones'
Un homme extraordinaire,Les Innocents,French,Variete,inconnu
Un soir de pluie,Blues Trottoir,French,Bossa,inconnu
Unchained melody,Righteous Brothers,English,wedding,1960'
Une nuit sur son epaule,Veronique Sanson,French,Variete,inconnu
Unforgettable a refaire,Nat King Cole,English,Jazz,1950 and before'
Us And Them,Pink Floyd,English,Variete,1970'
use-somebody,Kings-of-leon,English,Pop,2000'
Utile,Julien Clerc,French,Engage,inconnu
Valerie a refaire,Amy Winehouse,English,Girly,2000'
Vancouver,Veronique Sanson,French,Variete,inconnu
Venus,Shocking Blue,English,Variete,1960'
Venus in furs,Velvet underground,English,Variete,1960'
Vertige de l'amour,Alain Bashung,French,Variete,inconnu
Votre fille a vingt ans,Serge Reggiani,French,Variete,inconnu
Vous,Charles Trenet,French,Variete,inconnu
Vous qui passez sans me voir,Charles Trenet,French,Variete,inconnu
Voyage en italie,Liliclub,French,Variete,inconnu
Wake Me up When September Ends,Greenday,English,Pop,2000'
Walk on the Wild Side,Lou Reed,English,Variete,1970'
The War Is Over,Scott Walker,English,Variete,inconnu
We Can Work It Out,Beatles,English,Variete,1960 Beatles Rolling stones'
wedding camille,mummy,English,Variete,inconnu
Week-end a Rome,Etienne Daho,French,Variete,inconnu
Weird Fishes Arpeggi,Radiohead,English,Variete,2000'
What a wonderful world,Louis Amstrong,English,Variete,1950 and before'
What's Up?,4 Non Blondes,English,Pop,1990'
Where did you sleep,Nirvana,English,Pop,1990'
Where Is My Mind,Pixies,English,Pop,1980'
While My Guitar-v,George Harrisson - Eric Clapton,English,Variete,inconnu
White Flag,Dido,English,Variete,2000'
Wicked game,Chris Isaak,English,Variete,1980'
Wild Horses,Rolling Stones,English,Variete,1960 Beatles Rolling stones'
Wild Thing,Troggs,English,Variete,1960'
Wild World,Cat Stevens,English,Variete,1970'
Wind of change,Scorpions,English,Pop,1990'
The winner takes it all,ABBA,English,Variete,1980'
Wish You Were Here-v a refaire,Pink Floyd,English,Variete,1970'
With or without you,U2,English,Pop,1980'
Wonderful tonight,Eric Clapton,English,Rock,1970'
Wonderwall,Oasis,English,Pop,1990'
Wot's... uh the Deal,Pink Floyd,English,Variete,1970'
Wouldn't It Be Nice,Beach Boys,English,Variete,1960'
Year of the Cat,Al Stewart,English,Variete,1970'
Yesterday Once More,Carpenters,English,Variete,1970'
You Know I'm No Good,Amy Winehouse,English,Girly,2000'
You Never Can Tell a refaire,Chuck Berry,English,Variete,1960'
You'll Never Walk Alone,Gerry and The Pacemakers,English,wedding,1960'
Your song a refaire,Elton John,English,Variete,1970'
youre still the one,Shania Twain,English,wedding,1990'
Ziggy Stardust-v,David Bowie,English,Variete,1970'
Zombie a refaire,Cranberries,English,Rock,1990'
